duration_sum,duration_count,type_day,hs_day,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,mean_hs_dayType
149 days 22:45:06.999999872,8883,LNPH,3598.7516666666666,14.8,9.9,21.4,,,,,,,,0.4051279597733498
75 days 10:39:23.999999929,4904,LPH,1810.6563888888888,14.8,9.9,21.4,,,,,,,,0.3692203076853362
226 days 20:57:58.999999772,10472,WEND,5444.966111111111,15.9,11.5,,,,,,,,,0.5199547470503353
212 days 09:09:47.999999712,8470,WEND,5097.163055555556,19.6,15.2,,,,,,,,,0.60179020726748
113 days 10:06:34.999999912,6838,LNPH,2722.1094444444443,23.1,18.2,,,,,,,,,0.3980856163270612
79 days 19:47:00.999999949,4962,LPH,1915.7833333333333,23.1,18.2,,,,,,,,,0.38609095794706433
134 days 04:39:48.999999884,7989,LNPH,3220.6633333333334,21.1,15.3,29.4,7.1,,,,,,,0.4031372303584095
75 days 01:41:21.999999953,3980,LPH,1801.6891666666668,21.1,15.3,29.4,7.1,,,,,,,0.45268572026800674
130 days 17:18:48.999999888,7736,LNPH,3137.3133333333335,17.4,11.8,24.0,0.0,,,,,,,0.4055472250947949
72 days 04:22:21.999999941,4656,LPH,1732.3725,17.4,11.8,24.0,0.0,,,,,,,0.37207313144329895
86 days 12:51:06.999999889,5493,LNPH,2076.8516666666665,13.9,12.0,22.0,,,,,,,,0.3780906001577765
45 days 00:42:46.999999949,3155,LPH,1080.7127777777778,13.9,12.0,22.0,,,,,,,,0.34253970769501674
111 days 04:39:09.999999894,6656,LNPH,2668.6525,13.4,10.4,,4.1,,,,,,,0.4009393780048077
57 days 05:23:52.999999949,3698,LPH,1373.3977777777777,13.4,10.4,,4.1,,,,,,,0.3713893395829577
207 days 16:38:19.999999792,9131,WEND,4984.6386111111115,15.9,8.7,,0.0,,,,,,,0.5459028158045243
203 days 23:51:18.999999728,7548,WEND,4895.855,19.9,13.9,,,,,,,,,0.6486294382617911
202 days 03:02:10.999999736,7548,WEND,4851.0361111111115,21.1,14.9,,,,,,,,,0.642691588647471
112 days 21:11:03.999999892,6731,LNPH,2709.1841666666664,23.9,17.6,,,,,,,,,0.402493562125489
70 days 23:13:05.999999939,4514,LPH,1703.2180555555556,23.9,17.6,,,,,,,,,0.37731901983951166
115 days 22:31:55.999999870,6700,LNPH,2782.5319444444444,23.3,18.0,,,,,,,,,0.4153032752902156
66 days 16:17:32.999999949,4258,LPH,1600.2922222222223,23.3,18.0,,,,,,,,,0.3758318981264026
123 days 22:21:06.999999856,7315,LNPH,2974.3516666666665,21.5,17.0,28.7,2.0,,,,,,,0.40660993392572337
63 days 07:07:14.999999951,3953,LPH,1519.1205555555555,21.5,17.0,28.7,2.0,,,,,,,0.38429561233381115
129 days 07:22:52.999999908,7499,LNPH,3103.3811111111113,16.8,13.2,23.4,0.0,,,,,,,0.41383932672504486
72 days 11:00:55.999999938,4492,LPH,1739.0152777777778,16.8,13.2,23.4,0.0,,,,,,,0.38713608142871275
115 days 05:25:35.999999796,5589,WEND,2765.426388888889,15.8,13.5,21.3,3.0,,,,,,,0.4947980656448182
115 days 06:15:58.999999862,5104,WEND,2766.266111111111,17.1,13.3,,2.0,,,,,,,0.5419800374433995
105 days 11:02:42.999999878,6309,LNPH,2531.045,18.2,12.6,,1.0,,,,,,,0.40118006023141545
65 days 11:50:22.999999943,4058,LPH,1571.8394444444446,18.2,12.6,,1.0,,,,,,,0.3873433820710805
111 days 12:39:29.999999892,6696,LNPH,2676.6580555555556,17.0,11.4,,0.0,,,,,,,0.39973985298022036
66 days 14:27:57.999999931,4267,LPH,1598.4658333333334,17.0,11.4,,0.0,,,,,,,0.3746111631903758
73 days 01:44:25.999999905,4557,LNPH,1753.7402777777777,13.7,12.9,19.1,1.0,,,,,,,0.38484535391217417
39 days 12:45:23.999999957,2590,LPH,948.7563888888889,13.7,12.9,19.1,1.0,,,,,,,0.36631520806520806
115 days 13:40:10.999999908,6844,LNPH,2773.6694444444443,16.9,12.2,,4.1,,,,,,,0.4052702285862718
65 days 01:27:14.999999934,4185,LPH,1561.453888888889,16.9,12.2,,4.1,,,,,,,0.37310726138324707
114 days 10:35:00.999999888,6668,LNPH,2746.5833333333335,17.4,13.8,,0.0,,,,,,,0.4119051189762048
63 days 02:16:20.999999967,3905,LPH,1514.2722222222221,17.4,13.8,,0.0,,,,,,,0.3877777777777778
127 days 14:57:00.999999848,5483,WEND,3062.95,17.4,12.2,22.1,0.0,,,,,,,0.5586266642349078
98 days 19:01:59.999999834,3813,WEND,2371.0330555555556,19.3,13.4,,,,,,,,,0.6218287583413469
97 days 19:56:33.999999934,5773,LNPH,2347.9425,22.2,18.5,,,,,,,,,0.40671098215832324
58 days 11:39:11.999999950,3653,LPH,1403.6530555555555,22.2,18.5,,,,,,,,,0.3842466618000426
64 days 09:45:51.999999922,4107,LNPH,1545.7641666666666,20.2,17.4,27.1,2.0,,,,,,,0.3763730622514406
46 days 10:17:44.999999960,3037,LPH,1114.2955555555557,20.2,17.4,27.1,2.0,,,,,,,0.3669066695935317
101 days 23:05:24.999999914,6234,LNPH,2447.09,17.8,14.0,19.8,6.1,,,,,,,0.3925393006095605
